batter,runs,balls,fours,sixes,strike_rate,cluster
A Badoni,634,505,46,24,125.54455445544555,1
A Mishra,381,440,31,5,86.5909090909091,1
A Symonds,974,781,74,41,124.71190781049937,1
AA Jhunjhunwala,217,218,19,5,99.54128440366972,1
AB de Villiers,5181,3487,414,253,148.58044164037855,2
AC Gilchrist,2069,1555,239,92,133.05466237942122,0
AD Mathews,724,599,44,29,120.86811352253757,1
AD Russell,2488,1515,171,209,164.22442244224422,0
AJ Finch,2092,1696,214,78,123.34905660377358,0
AK Markram,995,787,73,35,126.4294790343075,1
AL Menaria,401,367,24,18,109.26430517711172,1
AM Nayar,672,588,55,20,114.28571428571428,1
AM Rahane,4642,3858,479,103,120.32141005702437,2
AP Tare,339,285,40,11,118.94736842105263,1
AR Patel,1653,1318,107,79,125.41729893778452,0
AT Rayudu,4348,3490,359,173,124.58452722063038,2
Abdul Samad,579,408,37,36,141.91176470588235,1
Abhishek Sharma,1377,925,128,73,148.86486486486484,1
Abishek Porel,360,244,37,15,147.54098360655738,1
Anuj Rawat,318,276,26,14,115.21739130434783,1
Azhar Mahmood,388,311,39,13,124.7588424437299,1
B Chipli,280,256,28,7,109.375,1
B Kumar,306,338,30,3,90.53254437869822,1
B Sai Sudharsan,1034,770,95,32,134.28571428571428,1
BA Stokes,935,718,81,32,130.22284122562675,1
BB McCullum,2882,2272,293,130,126.84859154929578,0
BJ Hodge,1400,1153,122,43,121.42237640936686,0
C Green,707,472,62,32,149.78813559322032,1
C de Grandhomme,303,229,18,18,132.31441048034935,1
CA Lynn,1329,974,132,66,136.4476386036961,1
CA Pujara,390,403,50,4,96.7741935483871,1
CH Gayle,4997,3516,408,359,142.1217292377702,2
CH Morris,618,413,41,35,149.636803874092,1
CJ Anderson,538,436,40,31,123.39449541284404,1
CL White,971,774,76,38,125.45219638242895,1
D Padikkal,1559,1323,170,42,117.83824640967498,0
DA Miller,2924,2171,207,134,134.68447719944726,0
DA Warner,6567,4849,663,236,135.4299855640338,3
DB Das,304,267,23,16,113.85767790262172,1
DB Ravi Teja,375,325,35,9,115.38461538461537,1
DJ Bravo,1560,1247,120,66,125.10024057738573,0
DJ Hooda,1466,1170,96,61,125.2991452991453,0
DJ Hussey,1322,1101,90,60,120.07266121707538,1
DJ Mitchell,351,274,28,10,128.1021897810219,1
DJG Sammy,295,251,15,18,117.52988047808766,1
DP Conway,924,669,100,30,138.11659192825113,1
DPMD Jayawardene,1808,1522,200,40,118.7910643889619,0
DR Smith,2385,1803,245,117,132.27953410981698,0
DT Christian,460,408,23,19,112.74509803921569,1
Dhruv Jurel,347,237,29,16,146.41350210970467,1
E Lewis,654,499,62,36,131.06212424849699,1
EJG Morgan,1406,1181,112,64,119.05165114309906,0
F du Plessis,4571,3435,422,166,133.07132459970887,2
G Gambhir,4217,3524,492,59,119.66515323496027,2
GC Smith,739,691,94,9,106.9464544138929,1
GH Vihari,284,331,23,1,85.80060422960725,1
GJ Bailey,663,552,59,19,120.1086956521739,1
GJ Maxwell,2772,1842,233,160,150.4885993485342,0
Gurkeerat Singh,511,436,55,11,117.20183486238531,1
H Klaasen,993,613,56,64,161.99021207177816,1
HH Gibbs,886,837,83,31,105.8542413381123,1
HH Pandya,2534,1814,189,137,139.69128996692393,0
HM Amla,577,418,60,21,138.03827751196172,1
HV Patel,249,214,16,15,116.35514018691589,1
Harbhajan Singh,833,636,79,42,130.9748427672956,1
Harpreet Brar,233,201,19,9,115.92039800995025,1
IK Pathan,1150,985,88,38,116.75126903553299,1
Ishan Kishan,2644,1991,255,119,132.79758915118032,0
J Botha,409,364,39,5,112.36263736263736,1
JA Morkel,975,712,61,55,136.93820224719101,1
JC Buttler,3583,2519,356,161,142.23898372369987,2
JD Ryder,604,466,69,19,129.6137339055794,1
JEC Franklin,327,309,25,9,105.8252427184466,1
JH Kallis,2427,2291,255,44,105.93627237014405,0
JJ Roy,614,460,75,21,133.47826086956522,1
JM Bairstow,1589,1132,166,69,140.37102473498234,0
